mytype,material,link,value
g,khoai tây,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,300
g,hành hoa,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,50
g,bột mỳ,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,30
g,tỏi,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,10
g,đường,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,30
ml,rượu trắng,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,30
đủ,nước mắm,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,vừa
đủ,xì dầu,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,vừa
đủ,muối,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,vừa
ít,húng lìu,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,1
quả,ớt đỏ,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,8
g,thịt lợn xay,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,100
ml,dầu ôliu,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,10
củ nhỏ,gừng,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,1
nhánh,hành lá,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,vài
tai,mộc nhĩ,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,vài
ít,hạt tiêu,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,1
đủ,muối,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,vừa
đủ,nước tương,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,vừa
đủ,hạt nêm,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,vừa
kg,ớt cay,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,0.8
kg,ớt sừng,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,2.2
ml,nước,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,800
thìa cà phê,muối,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,3
thìa cà phê,đường,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,2
ml,rượu trắng,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,20
củ,tỏi,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,4
thìa,dầu ăn,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,2
quả,cà chua,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,1
g,nấm đông cô,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,200 - 300
g,thịt,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,200
quả,trứng gà,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,1
